De;Nome;Area;Para;Nome;Area
7238;PX-SM2CAP500;581;299;SMESA2-GO500S;511
7101;GR-SM1CAP500;581;7236;SM-GR1TCS500;511
7103;GR-SM2CAP500;581;7237;SM-GR2CAP500;511
