ARE,Name,UF,Group_Area,U_FED,REG
475,MT - DIT/DIS,MT,DIT/DIS,MT,Sudeste-Centro-Oeste
476,MT - DIT/DIS,MT,DIT/DIS,MT,Sudeste-Centro-Oeste
477,MT - DIT/DIS,MT,DIT/DIS,MT,Sudeste-Centro-Oeste
478,MT - DIT/DIS,MT,DIT/DIS,MT,Sudeste-Centro-Oeste
479,MT - DIT/DIS,MT,DIT/DIS,MT,Sudeste-Centro-Oeste
480,MT - Consumi,MT,Consumi,MT,Sudeste-Centro-Oeste
481,MT - Autopro,MT,Autopro,MT,Sudeste-Centro-Oeste
511,GO - 500 kV,GO,500 kV,GO,Sudeste-Centro-Oeste
512,GO - 345 kV,GO,345 kV,GO,Sudeste-Centro-Oeste
513,GO - 230 kV,GO,230 kV,GO,Sudeste-Centro-Oeste
514,GO - DIT/DIS,GO,DIT/DIS,GO,Sudeste-Centro-Oeste
515,GO - DIT/DIS,GO,DIT/DIS,GO,Sudeste-Centro-Oeste
516,GO - DIT/DIS,GO,DIT/DIS,GO,Sudeste-Centro-Oeste
517,GO - DIT/DIS,GO,DIT/DIS,GO,Sudeste-Centro-Oeste
518,GO - DIT/DIS,GO,DIT/DIS,GO,Sudeste-Centro-Oeste
519,GO - Consumi,GO,Consumi,GO,Sudeste-Centro-Oeste
520,GO - Autopro,GO,Autopro,GO,Sudeste-Centro-Oeste
561,DF - 500 kV,DF,500 kV,DF,Sudeste-Centro-Oeste
562,DF - 345 kV,DF,345 kV,DF,Sudeste-Centro-Oeste
563,DF - 230 kV,DF,230 kV,DF,Sudeste-Centro-Oeste
564,DF - DIT/DIS,DF,DIT/DIS,DF,Sudeste-Centro-Oeste
582,TO - 230 kV,TO,230 kV,TO,Norte
583,TO - DIT/DIS,TO,DIT/DIS,TO,Norte
701,BA - 500 kV,BA,500 kV,BA,Nordeste
702,BA - 230 kV,BA,230 kV,BA,Nordeste
703,BA - DIT/DIS,BA,DIT/DIS,BA,Nordeste
704,BA - Consumi,BA,Consumi,BA,Nordeste
711,BA/SE - 500,BA/SE,500,BA,Nordeste
712,BA/SE - 230,BA/SE,230,BA,Nordeste
713,BA/SE - DIT/,BA/SE,DIT/,BA,Nordeste
714,BA/SE - DIT/,BA/SE,DIT/,BA,Nordeste
715,BA/SE - Cons,BA/SE,Cons,BA,Nordeste
716,BA/SE - Auto,BA/SE,Auto,BA,Nordeste
721,AL/PE - 500,AL/PE,500,AL,Nordeste
722,AL/PE - 230,AL/PE,230,AL,Nordeste
723,AL/PE - DIT/,AL/PE,DIT/,AL,Nordeste
724,AL/PE - Cons,AL/PE,Cons,AL,Nordeste
741,PB/RN - 500,PB/RN,500,PB,Nordeste
742,PB/RN - 230,PB/RN,230,PB,Nordeste
743,PB/RN - DIT/,PB/RN,DIT/,PB,Nordeste
744,PB/RN - Cons,PB/RN,Cons,PB,Nordeste
761,CE - 500 kV,CE,500 kV,CE,Nordeste
762,CE - 230 kV,CE,230 kV,CE,Nordeste
763,CE - DIT/DIS,CE,DIT/DIS,CE,Nordeste
764,CE - Consumi,CE,Consumi,CE,Nordeste
771,PI - 500 kV,PI,500 kV,PI,Nordeste
772,PI - 230 kV,PI,230 kV,PI,Nordeste
773,PI - DIT/DIS,PI,DIT/DIS,PI,Nordeste
800,,,,,
801,AM - 500 kV,AM,500 kV,AM,Norte
802,AM - 230 kV,AM,230 kV,AM,Norte
803,AM - DIT/DIS,AM,DIT/DIS,AM,Norte
804,AM - DIT/DIS,AM,DIT/DIS,AM,Norte
805,AM - DIT/DIS,AM,DIT/DIS,AM,Norte
806,AM - DIT/DIS,AM,DIT/DIS,AM,Norte
821,AP - 230 kV,AP,230 kV,AP,Norte
822,AP - DIT/DIS,AP,DIT/DIS,AP,Norte
841,PA - 500 kV,PA,500 kV,PA,Norte
842,PA - 230 kV,PA,230 kV,PA,Norte
843,PA - 230 kV,PA,230 kV,PA,Norte
844,PA - 230 kV,PA,230 kV,PA,Norte
845,PA - DIT/DIS,PA,DIT/DIS,PA,Norte
846,PA - DIT/DIS,PA,DIT/DIS,PA,Norte
847,PA - DIT/DIS,PA,DIT/DIS,PA,Norte
848,PA - Consumi,PA,Consumi,PA,Norte
861,MA - 500 kV,MA,500 kV,MA,Norte
862,MA - 230 kV,MA,230 kV,MA,Norte
863,MA - 230 kV,MA,230 kV,MA,Norte
864,MA - DIT/DIS,MA,DIT/DIS,MA,Norte
865,MA - DIT/DIS,MA,DIT/DIS,MA,Norte
866,MA - Consumi,MA,Consumi,MA,Norte
881,TO - 500 kV,TO,500 kV,TO,Norte
882,TO - 230 kV,TO,230 kV,TO,Norte
883,TO - DIT/DIS,TO,DIT/DIS,TO,Norte
998,,,,,
